ZIPCODE,CITY,AREA,ROAD,SCOOP
112017,臺北市,北投區,一心路,全
104091,臺北市,中山區,一江街,單  19號以下
104092,臺北市,中山區,一江街,單  21號至  39號
104088,臺北市,中山區,一江街,單  41號以上
104091,臺北市,中山區,一江街,雙  18號以下
104092,臺北市,中山區,一江街,雙  20號至  48號
104088,臺北市,中山區,一江街,雙  50號以上
116019,臺北市,文山區,一壽街,全
112055,臺北市,北投區,一德街,全
112028,臺北市,北投區,七星街,全
100410,臺北市,中正區,八德路一段,　  23號
100013,臺北市,中正區,八德路一段,全
104499,臺北市,中山區,八德路二段,單 203號至 205號
105404,臺北市,松山區,八德路二段,單 391號至 399號
104498,臺北市,中山區,八德路二段,　 306號
104498,臺北市,中山區,八德路二段,　 308號
105404,臺北市,松山區,八德路二段,連 342號至 342之   1號
105404,臺北市,松山區,八德路二段,　 348號
105404,臺北市,松山區,八德路二段,雙 358號至 360號
105404,臺北市,松山區,八德路二段,雙 374號至 380號 2樓以上
105604,臺北市,松山區,八德路二段,雙 382號至 388號
105404,臺北市,松山區,八德路二段,　 400號
105404,臺北市,松山區,八德路二段,雙 424號至 426號
106083,臺北市,大安區,八德路二段,單  57號以下
104097,臺北市,中山區,八德路二段,單  59號至  89號
104099,臺北市,中山區,八德路二段,單  91號至 201號
104099,臺北市,中山區,八德路二段,單 207號至 231號
104101,臺北市,中山區,八德路二段,單 233號至 345號
105040,臺北市,松山區,八德路二段,單 347號至 389號
105040,臺北市,松山區,八德路二段,單 401號以上
106083,臺北市,大安區,八德路二段,雙  34號以下
104097,臺北市,中山區,八德路二段,雙  36號至 112號
104100,臺北市,中山區,八德路二段,雙 114號至 280號
104098,臺北市,中山區,八德路二段,雙 282號至 340號
105041,臺北市,松山區,八德路二段,　 346巷全
105040,臺北市,松山區,八德路二段,雙 350號至 356號
105040,臺北市,松山區,八德路二段,雙 362號至 364號
105041,臺北市,松山區,八德路二段,　 366巷全
105040,臺北市,松山區,八德路二段,雙 368號至 380號
105040,臺北市,松山區,八德路二段,雙 390號至 398號
105040,臺北市,松山區,八德路二段,雙 402號至 408號
105042,臺北市,松山區,八德路二段,　 410巷單全
105041,臺北市,松山區,八德路二段,　 410巷雙  14號以下
105042,臺北市,松山區,八德路二段,　 410巷  16弄全
105041,臺北市,松山區,八德路二段,　 410巷雙  18號至  32號
105042,臺北市,松山區,八德路二段,　 410巷雙  34號以上
105040,臺北市,松山區,八德路二段,雙 412號至 422號
105040,臺北市,松山區,八德路二段,雙 426號以上
105608,臺北市,松山區,八德路三段,連   2號至   2之   2號
105608,臺北市,松山區,八德路三段,連  20號至  20之   2號
105608,臺北市,松山區,八德路三段,雙  30號至  32號
105608,臺北市,松山區,八德路三段,雙  34號至  36號
105407,臺北市,松山區,八德路三段,雙 182號至 186號
105407,臺北市,松山區,八德路三段,雙 204號至 216號
105407,臺北市,松山區,八德路三段,雙 224號至 238號
105407,臺北市,松山區,八德路三段,　 240號
105037,臺北市,松山區,八德路三段,單  99巷以下
105038,臺北市,松山區,八德路三段,單 101號以上
105045,臺北市,松山區,八德路三段,雙   4號至  10號
105045,臺北市,松山區,八德路三段,　  12巷單   5弄至  15號
105044,臺北市,松山區,八德路三段,　  12巷單  17弄至  65號
