"樟原","Zhangyuan"
"民生新村","Minsheng Vil."
"義新路","Yixin Rd."
"仁福2街","Renfu 2nd St."
"北中路","Beizhong Rd."
"金山東1街","Jinshan E. 1st St."
"南九甲巷","Nanjiujia Ln."
"平宅","Pingzhai 1st Ln."
"雪峰3路","Xuefeng 3rd Rd."
"福大路","Fuda Rd."
"慕義巷","Muyi Ln."
"太和路","Taihe Rd."
"北糖6街","Beitang 6th St."
"李厝路","Licuo Rd."
"挖子尾街","Waziwei St."
"富義新村","Fuyi Vil."
"正展路","Zhengzhan Rd."
"佳安北街","Jia’an N. St."
"龍形5街","Longxing 5th St."
"宏泰路","Hongtai Rd."
"館前街","Guanqian St."
"禾豐3路","Hefeng 3rd Rd."
"貴德街","Guide St."
"青埔1街","Qingpu 1st St."
"憲政街","Xianzheng St."
"那拔林","Nabalin"
"公路","Gonglu Ln."
"立莊路","Lizhuang Rd."
"大眾5街","Dazhong 5th St."
"新發巷","Xinfa Ln."
"後平巷","Houping Ln."
"福祥路","Fuxiang Rd."
"江大街","Jiangda St."
"精誠6街","Jingcheng 6th St."
"太順街","Taishun St."
"秀才窩","Xiucaiwo"
"福樂街","Fule St."
"三民市","Sanmin Market 3rd Ln."
"紫微路","Ziwei Rd."
"明華路","Minghua Rd."
"阿狗崎","Agouqi"
"仁川路","Renchuan Rd."
"環中東路","Huanzhong E. Rd."
"頂崁街","Dingkan St."
"迎旭街","Yingxu St."
"柿仔寮","Shizailiao"
"民主6路","Minzhu 6th Rd."
"永固街","Yonggu St."
"榮貫","Rongguan"
"雪山莊","Xue Shanzhuang"
"豐原大道2段","Fengyuan Blvd."
"埔子","Puzi"
"豐里","Fengli St."
"鼎強街","Dingqiang St."
"菜堂下","Caitangxia"
"仁慈路","Renci Rd."
"三界埔","Sanjiepu"
"崇善1街","Chongshan 1st St."
"五座屋","Wuzuowu"
"溪底寮","Xidiliao"
"精科中路","Jingke Central Rd."
"九芎根","Jiuqionggen"
"焦吧哖東路","JiaobaXX E. Rd."
"集英街","Jiying St."
"向陽街","Xiangyang St."
"臺斗街","Taidou St."
"福北路","Fubei Rd."
"明鳳13街","Mingfeng 13th St."
"平和巷","Pinghe Ln."
"科技工業區","Keji Industrial Park"
"原興路","Yuanxing Rd."
"松隆路","Songlong Rd."
"衙松1街","Yasong 1st St."
"珠崙巷","Zhulun Ln."
"七賢南路","Qixian S. Rd."
"貿商路","Maoshang Rd."
"潭平路","Tanping Rd."
"育樂1街","Yule 1st St."
"太平22街","Taiping 22nd St."
"小北街","Xiaobei St."
"大正2街","Dazheng 2nd St."
"路科5路","Luke 5th Rd."
"東津路","Dongjin Rd."
"光2路","Guang 2nd Rd."
"法治街","Fazhi St."
"芳漢路","Fanghan Rd."
"永1路","Yong 1st Rd."
"古區","Guqu"
"本田路","Bentian Rd."
"大隱5路","Dayin 5th Rd."
"甘州2街","Ganzhou 2nd St."
"北勢巷","Beishi Ln."
"五福巷","Wufu Ln."
"縣政17街","Xianzheng 17th St."
"文山十街","Wenshan 10th St."
"湖內巷","Hunei Ln."
"地政路","Dizheng Rd."
"林場巷","Linchang Ln."
"安南2路","Annan 2nd Rd."
"九層坪巷","Jiucengping Ln."
"外寮","Wailiao"
"瓦厝巷","Wacuo Ln."
"平忠巷","Pingzhong Ln."
"孝4街","Xiao 4th St."
"柳州街","Liuzhou St."
"文南4街","Wennan 4th St."
"苓中巷","Lingzhong Ln."
"外安","Wai’an"
"油車寮","Youcheliao"
"園4街","Yuan 4th St."
"神岡東街","Shengang E. St."
"昌發街","Changfa St."
"十棟","Shidong"
"新化巷","Xinhua Ln."
"西安路","Xi’an Rd."
"本昌路","Benchang Rd."
"一橫","Yiheng 1st Ln."
"永華路","Yonghua Rd."
"大華6街","Dahua 6th St."
"仁和6街","Renhe 6th St."
"義林7街","Yilin 7th St."
"五光2街","Wuguang 2nd St."
"大公17街","Dagong 17th St."
"內角","Neijiao"
"嘉峰路","Jiafeng Rd."
"建平7街","Jianping 7th St."
"芳2段","Fang Sec. 2"
"水碓街","Shuidui St."
"國豐6街","Guofeng 6th St."
"永寧新村","Yongning Vil."
"劉厝","Liucuo"
"勝利5路","Shengli 5th Rd."
"溝貝街","Goubei St."
